Goals,Level,Days,Time,Equipments,Gender,Workout
Build Muscle,Beginner,4,57.5,"['Bodyweight', 'Cables', 'Dumbbells', 'EZ Bar', 'Machines']",Female,"[[{'exercise': 'Dumbbell Bench Press', 'sets': 4, 'reps': 10}, {'exercise': 'Machine Chest Fly', 'sets': 3, 'reps': 13}, {'exercise': 'Dumbbell Row', 'sets': 4, 'reps': 10}, {'exercise': 'Lat Pull Down', 'sets': 4, 'reps': 10}, {'exercise': 'Machine Shoulder Press', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Lateral Raise', 'sets': 3, 'reps': 13}, {'exercise': 'Machine Tricep Dip', 'sets': 2, 'reps': 10}, {'exercise': 'Cable Curl', 'sets': 2, 'reps': 13}], [{'exercise': 'Leg Press', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Stiff Leg Deadlift', 'sets': 4, 'reps': 10}, {'exercise': 'Leg Extension', 'sets': 3, 'reps': 14}, {'exercise': 'Leg Curl', 'sets': 3, 'reps': 14}, {'exercise': 'Machine Glute Kickback', 'sets': 3, 'reps': 14}, {'exercise': 'Standing Calf Raise', 'sets': 3, 'reps': 20}], [{'exercise': 'Seated Dumbbell Press', 'sets': 4, 'reps': 10}, {'exercise': 'Cable Face Pull', 'sets': 3, 'reps': 13}, {'exercise': 'Smith Machine Row', 'sets': 4, 'reps': 10}, {'exercise': 'Machine Pull Up', 'sets': 4, 'reps': 10}, {'exercise': 'Incline Dumbbell Press', 'sets': 4, 'reps': 10}, {'exercise': 'Cable Fly', 'sets': 3, 'reps': 13}, {'exercise': 'Dumbbell Curl', 'sets': 2, 'reps': 10}, {'exercise': 'Skullcrusher', 'sets': 2, 'reps': 10}], [{'exercise': 'Goblet Squat', 'sets': 4, 'reps': 10}, {'exercise': 'Smith Machine Hip Thrust', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Deadlift', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Lunge', 'sets': 3, 'reps': 13}, {'exercise': 'Seated Leg Curl', 'sets': 3, 'reps': 13}, {'exercise': 'Seated Calf Raise', 'sets': 3, 'reps': 20}]]"
Build Muscle,Beginner,4,30.0,['Kettle Bells'],Male,"[[], [], [], []]"
Build Muscle,Beginner,4,30.0,['Kettle Bells'],Female,"[[], [], [], []]"
Build Muscle,Beginner,5,45.0,"['Bands', 'Barbell', 'Bodyweight', 'Dumbbells']",Male,"[[{'exercise': 'Incline Barbell Bench Press', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Floor Press', 'sets': 3, 'reps': 11}, {'exercise': 'Banded Fly', 'sets': 3, 'reps': 12}, {'exercise': 'Push Ups', 'sets': 3, 'reps': 12}], [{'exercise': 'Bent Over Row', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Pullover', 'sets': 3, 'reps': 11}, {'exercise': 'Banded Row', 'sets': 3, 'reps': 12}, {'exercise': 'Shrugs', 'sets': 3, 'reps': 15}], [{'exercise': 'Barbell Curl', 'sets': 4, 'reps': 12}, {'exercise': 'Hammer Curl', 'sets': 3, 'reps': 11}, {'exercise': 'Banded Curl', 'sets': 3, 'reps': 12}, {'exercise': 'Overhead Tricep Extension', 'sets': 4, 'reps': 12}, {'exercise': 'Dumbbell Kickback', 'sets': 4, 'reps': 12}, {'exercise': 'Close Grip Push Up', 'sets': 4, 'reps': 15}], [{'exercise': 'Arnold Press', 'sets': 4, 'reps': 10}, {'exercise': 'Front Raise', 'sets': 3, 'reps': 11}, {'exercise': 'Lateral Raise', 'sets': 3, 'reps': 12}, {'exercise': 'Band Pull Apart', 'sets': 3, 'reps': 12}], [{'exercise': 'Squat', 'sets': 4, 'reps': 10}, {'exercise': 'Stiff-Leg Deadlift', 'sets': 4, 'reps': 11}, {'exercise': 'Walking Lunge', 'sets': 4, 'reps': 12}, {'exercise': 'Standing Calf Raise', 'sets': 3, 'reps': 15}]]"
Build Muscle,Beginner,5,45.0,"['Bands', 'Barbell', 'Bodyweight', 'Dumbbells']",Female,"[[{'exercise': 'Incline Barbell Bench Press', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Floor Press', 'sets': 3, 'reps': 11}, {'exercise': 'Banded Fly', 'sets': 3, 'reps': 12}, {'exercise': 'Push Ups', 'sets': 3, 'reps': 12}], [{'exercise': 'Bent Over Row', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Pullover', 'sets': 3, 'reps': 11}, {'exercise': 'Banded Row', 'sets': 3, 'reps': 12}, {'exercise': 'Shrugs', 'sets': 3, 'reps': 15}], [{'exercise': 'Barbell Curl', 'sets': 4, 'reps': 12}, {'exercise': 'Hammer Curl', 'sets': 3, 'reps': 11}, {'exercise': 'Banded Curl', 'sets': 3, 'reps': 12}, {'exercise': 'Overhead Tricep Extension', 'sets': 4, 'reps': 12}, {'exercise': 'Dumbbell Kickback', 'sets': 4, 'reps': 12}, {'exercise': 'Close Grip Push Up', 'sets': 4, 'reps': 15}], [{'exercise': 'Arnold Press', 'sets': 4, 'reps': 10}, {'exercise': 'Front Raise', 'sets': 3, 'reps': 11}, {'exercise': 'Lateral Raise', 'sets': 3, 'reps': 12}, {'exercise': 'Band Pull Apart', 'sets': 3, 'reps': 12}], [{'exercise': 'Squat', 'sets': 4, 'reps': 10}, {'exercise': 'Stiff-Leg Deadlift', 'sets': 4, 'reps': 11}, {'exercise': 'Walking Lunge', 'sets': 4, 'reps': 12}, {'exercise': 'Standing Calf Raise', 'sets': 3, 'reps': 15}]]"
Build Muscle,Beginner,5,57.5,"['Bodyweight', 'Cables', 'Dumbbells', 'Machines']",Male,"[[{'exercise': 'Dumbbell Incline Bench Press', 'sets': 5, 'reps': 10}, {'exercise': 'Machine Chest Press', 'sets': 4, 'reps': 9}, {'exercise': 'Cable Fly', 'sets': 4, 'reps': 13}, {'exercise': 'Chest Dip', 'sets': 4, 'reps': 10}, {'exercise': 'Machine Chest Fly', 'sets': 3, 'reps': 14}, {'exercise': 'Push Up', 'sets': 3, 'reps': 15}], [{'exercise': 'Pull Ups', 'sets': 5, 'reps': 10}, {'exercise': 'Dumbbell Row', 'sets': 4, 'reps': 10}, {'exercise': 'Smith Machine Row', 'sets': 4, 'reps': 10}, {'exercise': 'Seated Cable Row', 'sets': 3, 'reps': 13}, {'exercise': 'Close Grip Pull Down', 'sets': 3, 'reps': 13}, {'exercise': 'Straight Arm Lat Pull Down', 'sets': 2, 'reps': 20}], [{'exercise': 'Leg Press', 'sets': 4, 'reps': 10}, {'exercise': 'Goblet Squat', 'sets': 3, 'reps': 10}, {'exercise': 'Dumbbell Hip Thrust', 'sets': 4, 'reps': 10}, {'exercise': 'Lying Leg Curl', 'sets': 3, 'reps': 13}, {'exercise': 'Dumbbell Rear Lunge', 'sets': 3, 'reps': 13}, {'exercise': 'Standing Calf Raise', 'sets': 4, 'reps': 23}, {'exercise': 'Glute Focused Hyperextension', 'sets': 3, 'reps': 13}], [{'exercise': 'Seated Dumbbell Press', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Lateral Raise', 'sets': 4, 'reps': 10}, {'exercise': 'Cable Face Pull', 'sets': 3, 'reps': 13}, {'exercise': 'Machine Lateral Raise', 'sets': 3, 'reps': 13}, {'exercise': 'Machine Reverse Fly', 'sets': 3, 'reps': 13}, {'exercise': 'Smith Machine Shrug', 'sets': 4, 'reps': 10}], [{'exercise': 'Dumbbell Curl', 'sets': 3, 'reps': 11}, {'exercise': 'Lying Dumbbell Tricep Extension', 'sets': 3, 'reps': 11}, {'exercise': 'Cable Hammer Curl', 'sets': 3, 'reps': 11}, {'exercise': 'Tricep Dip', 'sets': 3, 'reps': 11}, {'exercise': 'Machine Preacher Curl', 'sets': 3, 'reps': 11}, {'exercise': 'Standing Cable Overhead Extension', 'sets': 3, 'reps': 11}]]"
Build Muscle,Beginner,5,57.5,"['Bodyweight', 'Cables', 'Dumbbells', 'Machines']",Female,"[[{'exercise': 'Dumbbell Incline Bench Press', 'sets': 5, 'reps': 10}, {'exercise': 'Machine Chest Press', 'sets': 4, 'reps': 9}, {'exercise': 'Cable Fly', 'sets': 4, 'reps': 13}, {'exercise': 'Chest Dip', 'sets': 4, 'reps': 10}, {'exercise': 'Machine Chest Fly', 'sets': 3, 'reps': 14}, {'exercise': 'Push Up', 'sets': 3, 'reps': 15}], [{'exercise': 'Pull Ups', 'sets': 5, 'reps': 10}, {'exercise': 'Dumbbell Row', 'sets': 4, 'reps': 10}, {'exercise': 'Smith Machine Row', 'sets': 4, 'reps': 10}, {'exercise': 'Seated Cable Row', 'sets': 3, 'reps': 13}, {'exercise': 'Close Grip Pull Down', 'sets': 3, 'reps': 13}, {'exercise': 'Straight Arm Lat Pull Down', 'sets': 2, 'reps': 20}], [{'exercise': 'Leg Press', 'sets': 4, 'reps': 10}, {'exercise': 'Goblet Squat', 'sets': 3, 'reps': 10}, {'exercise': 'Dumbbell Hip Thrust', 'sets': 4, 'reps': 10}, {'exercise': 'Lying Leg Curl', 'sets': 3, 'reps': 13}, {'exercise': 'Dumbbell Rear Lunge', 'sets': 3, 'reps': 13}, {'exercise': 'Standing Calf Raise', 'sets': 4, 'reps': 23}, {'exercise': 'Glute Focused Hyperextension', 'sets': 3, 'reps': 13}], [{'exercise': 'Seated Dumbbell Press', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Lateral Raise', 'sets': 4, 'reps': 10}, {'exercise': 'Cable Face Pull', 'sets': 3, 'reps': 13}, {'exercise': 'Machine Lateral Raise', 'sets': 3, 'reps': 13}, {'exercise': 'Machine Reverse Fly', 'sets': 3, 'reps': 13}, {'exercise': 'Smith Machine Shrug', 'sets': 4, 'reps': 10}], [{'exercise': 'Dumbbell Curl', 'sets': 3, 'reps': 11}, {'exercise': 'Lying Dumbbell Tricep Extension', 'sets': 3, 'reps': 11}, {'exercise': 'Cable Hammer Curl', 'sets': 3, 'reps': 11}, {'exercise': 'Tricep Dip', 'sets': 3, 'reps': 11}, {'exercise': 'Machine Preacher Curl', 'sets': 3, 'reps': 11}, {'exercise': 'Standing Cable Overhead Extension', 'sets': 3, 'reps': 11}]]"
Build Muscle,Intermediate,5,60.0,"['Bands', 'Barbell', 'Bodyweight', 'Cables', 'Dumbbells', 'Kettle Bells', 'Medicine Ball']",Male,"[[{'exercise': 'Kettlebell Z Press', 'sets': 4, 'reps': 10}, {'exercise': 'Burpee to Pull Up', 'sets': 4, 'reps': 8}, {'exercise': 'Barbell Deadlift', 'sets': 4, 'reps': 12}, {'exercise': 'Alternating Kettlebell Box Step Ups', 'sets': 4, 'reps': 30}, {'exercise': 'Kettlebell Swings', 'sets': 4, 'reps': 10}, {'exercise': 'Single Arm Overhead Kettlebell Walking Lunge', 'sets': 4, 'reps': 12}, {'exercise': 'Toes to Bar or Hanging Knee Raise', 'sets': 4, 'reps': 10}, {'exercise': 'Ground to Overhead with Plate', 'sets': 4, 'reps': 12}, {'exercise': 'Squats', 'sets': 4, 'reps': 10}, {'exercise': 'Barbell Shoulder Press', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Lateral Raise', 'sets': 4, 'reps': 12}, {'exercise': 'Band Pull Apart', 'sets': 4, 'reps': 10}, {'exercise': 'Single Leg Split Squat', 'sets': 4, 'reps': 10}], [{'exercise': 'Tricep Rope Push Down', 'sets': 4, 'reps': 16}, {'exercise': 'Burpee to Overhead Plate Raise', 'sets': 4, 'reps': 10}, {'exercise': 'Tricep Bar Pushdown', 'sets': 4, 'reps': 14}, {'exercise': 'Narrow Push Up', 'sets': 4, 'reps': 15}, {'exercise': 'Air Squats', 'sets': 4, 'reps': 20}, {'exercise': 'Cable Flys', 'sets': 4, 'reps': 12}, {'exercise': 'Bench Step Ups', 'sets': 4, 'reps': 20}, {'exercise': 'Single Arm Pull Down', 'sets': 4, 'reps': 20}, {'exercise': 'Incline Dumbbell Press', 'sets': 4, 'reps': 10}, {'exercise': 'Bench V', 'sets': 4, 'reps': 20}, {'exercise': 'Dumbbell Bench Press', 'sets': 4, 'reps': 10}, {'exercise': 'Burpees', 'sets': 4, 'reps': 10}, {'exercise': 'Bench Dips', 'sets': 4, 'reps': 12}], [{'exercise': 'Lat Pull Down', 'sets': 4, 'reps': 14}, {'exercise': 'Dumbbell Curls', 'sets': 4, 'reps': 10}, {'exercise': 'Seated Row', 'sets': 4, 'reps': 14}, {'exercise': 'Rope Curls', 'sets': 4, 'reps': 14}, {'exercise': 'Rope Face Pulls', 'sets': 4, 'reps': 12}, {'exercise': 'Narrow Push Up', 'sets': 4, 'reps': 15}, {'exercise': 'Bent Over Dumbbell Curls', 'sets': 4, 'reps': 10}, {'exercise': 'Strict Pull Ups', 'sets': 4, 'reps': 10}, {'exercise': 'Toes to Bar or Hanging Knee Raises', 'sets': 4, 'reps': 10}, {'exercise': 'Bent Over Single Arm Kettlebell Row', 'sets': 4, 'reps': 10}, {'exercise': 'EZ Bar Bicep 21s', 'sets': 4, 'reps': 21}, {'exercise': 'V', 'sets': 4, 'reps': 14}], [{'exercise': 'Standing Kettlebell Press', 'sets': 3, 'reps': 12}, {'exercise': 'Barbell Front Squat', 'sets': 3, 'reps': 6}, {'exercise': 'Barbell Deadlifts', 'sets': 3, 'reps': 6}, {'exercise': 'Burpees', 'sets': 3, 'reps': 1}, {'exercise': 'Ball Slams', 'sets': 1, 'reps': 100}, {'exercise': 'Front Rack Kettlebell Walking Lunge', 'sets': 3, 'reps': 20}, {'exercise': 'Toes to Bar or Hanging Knee Raise', 'sets': 3, 'reps': 8}, {'exercise': 'Dumbbell Lateral Raise to Front Raise', 'sets': 3, 'reps': 12}, {'exercise': 'Wall Balls', 'sets': 4, 'reps': 25}, {'exercise': 'Handstand Push Up Against Wall', 'sets': 4, 'reps': 10}], [{'exercise': 'Lat Pull Down', 'sets': 4, 'reps': 12}, {'exercise': 'Push Ups', 'sets': 4, 'reps': 20}, {'exercise': 'Dumbbell Single Arm Row', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Bench Press', 'sets': 3, 'reps': 8}, {'exercise': 'Close Grip Lat Pull Down', 'sets': 4, 'reps': 12}, {'exercise': 'Dumbbell Incline Press', 'sets': 3, 'reps': 8}, {'exercise': 'Rear Delt Cable Crossover', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Flys', 'sets': 4, 'reps': 10}, {'exercise': 'Bent Over Barbell Row', 'sets': 3, 'reps': 12}, {'exercise': 'Bench Press', 'sets': 3, 'reps': 12}, {'exercise': 'Box Jump', 'sets': 3, 'reps': 10}]]"
Build Muscle,Intermediate,5,60.0,"['Bands', 'Barbell', 'Bodyweight', 'Cables', 'Dumbbells', 'Kettle Bells', 'Medicine Ball']",Female,"[[{'exercise': 'Kettlebell Z Press', 'sets': 4, 'reps': 10}, {'exercise': 'Burpee to Pull Up', 'sets': 4, 'reps': 8}, {'exercise': 'Barbell Deadlift', 'sets': 4, 'reps': 12}, {'exercise': 'Alternating Kettlebell Box Step Ups', 'sets': 4, 'reps': 30}, {'exercise': 'Kettlebell Swings', 'sets': 4, 'reps': 10}, {'exercise': 'Single Arm Overhead Kettlebell Walking Lunge', 'sets': 4, 'reps': 12}, {'exercise': 'Toes to Bar or Hanging Knee Raise', 'sets': 4, 'reps': 10}, {'exercise': 'Ground to Overhead with Plate', 'sets': 4, 'reps': 12}, {'exercise': 'Squats', 'sets': 4, 'reps': 10}, {'exercise': 'Barbell Shoulder Press', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Lateral Raise', 'sets': 4, 'reps': 12}, {'exercise': 'Band Pull Apart', 'sets': 4, 'reps': 10}, {'exercise': 'Single Leg Split Squat', 'sets': 4, 'reps': 10}], [{'exercise': 'Tricep Rope Push Down', 'sets': 4, 'reps': 16}, {'exercise': 'Burpee to Overhead Plate Raise', 'sets': 4, 'reps': 10}, {'exercise': 'Tricep Bar Pushdown', 'sets': 4, 'reps': 14}, {'exercise': 'Narrow Push Up', 'sets': 4, 'reps': 15}, {'exercise': 'Air Squats', 'sets': 4, 'reps': 20}, {'exercise': 'Cable Flys', 'sets': 4, 'reps': 12}, {'exercise': 'Bench Step Ups', 'sets': 4, 'reps': 20}, {'exercise': 'Single Arm Pull Down', 'sets': 4, 'reps': 20}, {'exercise': 'Incline Dumbbell Press', 'sets': 4, 'reps': 10}, {'exercise': 'Bench V', 'sets': 4, 'reps': 20}, {'exercise': 'Dumbbell Bench Press', 'sets': 4, 'reps': 10}, {'exercise': 'Burpees', 'sets': 4, 'reps': 10}, {'exercise': 'Bench Dips', 'sets': 4, 'reps': 12}], [{'exercise': 'Lat Pull Down', 'sets': 4, 'reps': 14}, {'exercise': 'Dumbbell Curls', 'sets': 4, 'reps': 10}, {'exercise': 'Seated Row', 'sets': 4, 'reps': 14}, {'exercise': 'Rope Curls', 'sets': 4, 'reps': 14}, {'exercise': 'Rope Face Pulls', 'sets': 4, 'reps': 12}, {'exercise': 'Narrow Push Up', 'sets': 4, 'reps': 15}, {'exercise': 'Bent Over Dumbbell Curls', 'sets': 4, 'reps': 10}, {'exercise': 'Strict Pull Ups', 'sets': 4, 'reps': 10}, {'exercise': 'Toes to Bar or Hanging Knee Raises', 'sets': 4, 'reps': 10}, {'exercise': 'Bent Over Single Arm Kettlebell Row', 'sets': 4, 'reps': 10}, {'exercise': 'EZ Bar Bicep 21s', 'sets': 4, 'reps': 21}, {'exercise': 'V', 'sets': 4, 'reps': 14}], [{'exercise': 'Standing Kettlebell Press', 'sets': 3, 'reps': 12}, {'exercise': 'Barbell Front Squat', 'sets': 3, 'reps': 6}, {'exercise': 'Barbell Deadlifts', 'sets': 3, 'reps': 6}, {'exercise': 'Burpees', 'sets': 3, 'reps': 1}, {'exercise': 'Ball Slams', 'sets': 1, 'reps': 100}, {'exercise': 'Front Rack Kettlebell Walking Lunge', 'sets': 3, 'reps': 20}, {'exercise': 'Toes to Bar or Hanging Knee Raise', 'sets': 3, 'reps': 8}, {'exercise': 'Dumbbell Lateral Raise to Front Raise', 'sets': 3, 'reps': 12}, {'exercise': 'Wall Balls', 'sets': 4, 'reps': 25}, {'exercise': 'Handstand Push Up Against Wall', 'sets': 4, 'reps': 10}], [{'exercise': 'Lat Pull Down', 'sets': 4, 'reps': 12}, {'exercise': 'Push Ups', 'sets': 4, 'reps': 20}, {'exercise': 'Dumbbell Single Arm Row', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Bench Press', 'sets': 3, 'reps': 8}, {'exercise': 'Close Grip Lat Pull Down', 'sets': 4, 'reps': 12}, {'exercise': 'Dumbbell Incline Press', 'sets': 3, 'reps': 8}, {'exercise': 'Rear Delt Cable Crossover', 'sets': 4, 'reps': 10}, {'exercise': 'Dumbbell Flys', 'sets': 4, 'reps': 10}, {'exercise': 'Bent Over Barbell Row', 'sets': 3, 'reps': 12}, {'exercise': 'Bench Press', 'sets': 3, 'reps': 12}, {'exercise': 'Box Jump', 'sets': 3, 'reps': 10}]]"
Build Muscle,Intermediate,5,37.5,"['Barbell', 'Bodyweight', 'Cables', 'Dumbbells', 'EZ Bar', 'Machines']",Male,"[[{'exercise': 'Leg Press', 'sets': 1, 'reps': 5}, {'exercise': 'Superset - Goblet Squats', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Leg Extensions', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Walking Dumbbell Lunge', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Hack Squats', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Stiff Leg Deadlift', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Leg Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Two Leg Dumbbell Calf Raise', 'sets': 3, 'reps': 15}, {'exercise': 'Superset - Seated Calf Raise', 'sets': 3, 'reps': 15}], [{'exercise': 'Incline Bench Press', 'sets': 1, 'reps': 5}, {'exercise': 'Superset - Dumbbell Bench Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Dumbbell Flyes', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Machine Chest Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Pec Dec', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - EZ Bar Reverse Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Seated Reverse Dumbbell Wrist Curl', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Cable Crunches', 'sets': 3, 'reps': 20}, {'exercise': 'Superset - Plank', 'sets': 3, 'reps': 30}], [{'exercise': 'Barbell Row', 'sets': 1, 'reps': 5}, {'exercise': 'Superset - Lat Pull Down', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Machine Row', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Two Arm Dumbbell Row', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Stiff Arm Lat Pull Down', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Seated Cable Rows', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Rack Chin', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Barbell Shrugs', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Dumbbell Shrugs', 'sets': 3, 'reps': 10}], [{'exercise': 'Military Press', 'sets': 1, 'reps': 5}, {'exercise': 'Superset - Arnold Dumbbell Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Dumbbell Side Lateral', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Machine Overhead Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Bent Over Reverse Flyes', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Front Laterals', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Upright Rows', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Weighted Situps', 'sets': 3, 'reps': 20}, {'exercise': 'Superset - Hanging Leg Raises', 'sets': 3, 'reps': 20}], [{'exercise': 'Superset - Bench Dips', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Barbell Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Cable Tricep Extensions', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Two Arm Dumbbell Preacher Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Close Grip Bench Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Hammer Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Seated Two Arm Dumbbell Extension', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Cable Curls', 'sets': 3, 'reps': 10}]]"
Build Muscle,Intermediate,5,37.5,"['Barbell', 'Bodyweight', 'Cables', 'Dumbbells', 'EZ Bar', 'Machines']",Female,"[[{'exercise': 'Leg Press', 'sets': 1, 'reps': 5}, {'exercise': 'Superset - Goblet Squats', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Leg Extensions', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Walking Dumbbell Lunge', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Hack Squats', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Stiff Leg Deadlift', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Leg Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Two Leg Dumbbell Calf Raise', 'sets': 3, 'reps': 15}, {'exercise': 'Superset - Seated Calf Raise', 'sets': 3, 'reps': 15}], [{'exercise': 'Incline Bench Press', 'sets': 1, 'reps': 5}, {'exercise': 'Superset - Dumbbell Bench Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Dumbbell Flyes', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Machine Chest Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Pec Dec', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - EZ Bar Reverse Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Seated Reverse Dumbbell Wrist Curl', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Cable Crunches', 'sets': 3, 'reps': 20}, {'exercise': 'Superset - Plank', 'sets': 3, 'reps': 30}], [{'exercise': 'Barbell Row', 'sets': 1, 'reps': 5}, {'exercise': 'Superset - Lat Pull Down', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Machine Row', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Two Arm Dumbbell Row', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Stiff Arm Lat Pull Down', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Seated Cable Rows', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Rack Chin', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Barbell Shrugs', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Dumbbell Shrugs', 'sets': 3, 'reps': 10}], [{'exercise': 'Military Press', 'sets': 1, 'reps': 5}, {'exercise': 'Superset - Arnold Dumbbell Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Dumbbell Side Lateral', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Machine Overhead Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Bent Over Reverse Flyes', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Front Laterals', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Upright Rows', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Weighted Situps', 'sets': 3, 'reps': 20}, {'exercise': 'Superset - Hanging Leg Raises', 'sets': 3, 'reps': 20}], [{'exercise': 'Superset - Bench Dips', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Barbell Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Cable Tricep Extensions', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Two Arm Dumbbell Preacher Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Close Grip Bench Press', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Hammer Curls', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Seated Two Arm Dumbbell Extension', 'sets': 3, 'reps': 10}, {'exercise': 'Superset - Cable Curls', 'sets': 3, 'reps': 10}]]"
