,exercise
936,Pull Ups or One Arm Dumbbell Rows
937,Barbell Hack Squat (90 secs rest between sets)
938,Rear-Foot Elevated Bulgarian Split Squats
939,Dumbbell Lateral Raise - Burn
940,(Weighted) Tricep Dips
941,Resistance Band Overhead Press
942,Medium-Grip Pull-Up or Dumbbell Row
943,Kettlebell Deficit Push Up
944,Forward Lunge
945,One Arm Cable Curl
946,Machine Pec Deck
947,Pummel Curls
948,Cable Crossover (super set with Push Ups)
949,Incline Barbell Bench Press - Warmup 70%
950,Machine Shoulder Press w/ Palms Facing Inward
951,Lat Pull Downs (Rest-Pause)
952,13
953,Feet Elevated Side Plank 
954,Lat Pull Downs
955,Bodyweight Chin Up
956,Hand Grips
957,Hammer Strength Unilateral High Row
958,One Arm Tricep Extension
959,Hip Adduction
960,Seated Leg Curls
961,Reverse Grip Tricep Cable Pushdown
962,Knee Bring
963,Side Crunches on Roman Chair
964,One Arm Standing Kettlebell Press
965,Shoulder
966,Stiff Leg Dumbbell Deadlift
967,Dave Draper Forehead Curl
968,"Standing Tricep Pushdown (Rope, V-bar, or Straight Bar)"
969,Single Leg Side Leg Press***
970,Glute Ham
971,Inverted row/side lunge
972,5A: Bicycle Crunches
973,B2: Flat Bench Barbell Press
974,Deadlifts
975,Dumbbell Single Arm Row
976,Forearm or Grip Work
977,Incline Barbell Bench Press
978,Vertical Jumps
979,Neutral Grip Chin Up
980,5A: TRX Pikes
981,Chin Up bar Hang
982,Tate Press
983,Stationary Lunges
984,Overhead Extensions
985,Triceps Dips
986,Vertical Leg Press
987,Reverse-grip chin-up/kettlebell swing
988,Full Range Crunches
989,Single Leg Curls - Each Leg **
990,Vacuums
991,Wide Grip Pull
992,Swiss Ball Circles
993,Tricep Bar Pushdown
994,Reverse-grip pull-up
995,Wide Grip Bicep Curl
996,Seated Curls
997,Close Grip Bench Press or Paused Bench Press
998,Incline Dumbbell Curls
999,Diamond Push Up
1000,Wide Grip Pull-Downs
1001,Straight Bar Tricep Extension
1002,Sumo Deadlifts
1003,Outer Leg Machine
1004,Banded Nordic Hamstring Curl
1005,Chin Up (Add weight if you can do 15+ reps)
1006,Bodyweight row
1007,Wall Sits
1008,Oblique Push Up
1009,500 m Intervals 
1010,Cable Cross
1011,Dips 
1012,Close Grip 3 Board Press
1013,50 Yards
1014,Wide Grip Upright Row
1015,10 Secs
1016,Bodyweight Deadlifts
1017,Dumbbell Single Leg Squat on Box 
1018,Overhead Rope Triceps Extension
1019,Bodyweight Bulgarian Split Squat
1020,Bicep Curl (1 Sec Hold)
1021,Barbell Reverse Curl
1022,Machine Hamstring Curls
1023,Yates Row - Week 2 (Any rep range can be used)
1024,Trap Bar 
1025,Dumbbell Stiff Legged Deadlift
1026,Machine Pull Up
1027,Glute Focused Hyperextension
1028,Kettlebell Halo
1029,Banded Tricep Extension
1030,Single Arm Cable Kickback
1031,Box Jump or Jump Squat
1032,Wide Grip Pull Down
1033,Half Kneeling Vertical Pallof Press
1034,Seated Cable Row - Burn
1035,Standing Hammer Curl
1036,Squat - Muscle
1037,Leg Kickbacks
1038,Tall Kneeling Cable Lift 
1039,Superset: Pike press and jumping jacks
1040,Wide Grip Barbell Bent-Over Row
1041,1 Arm Hammer Strength Low Row
1042,Dumbbell Iso
1043,Weighted leg raise
1044,One Legged Leg Press
1045,Band Push Ups
1046,Frog Crunches
1047,Close Grip Pull Down 
1048,Kettlebell Double Swings (10-15 reps/set) **
1049,Push
1050,Plyo (hand clap) Push-Up
1051,Alternating Dumbbell Hammer Curls
1052,Barbell Rows
1053,Single Lying Leg Curl
1054,Stability Alternates From Knees
1055,3A: Rear-Foot Elevated Bulgarian Split Squats
1056,45 Degree Back Extension
1057,Band Curls
1058,or Back Squats 
1059,Reverse Grip Straight Bar Pushdown
1060,Planks
1061,Standing Barbell Tricep Extension
1062,Overhead Cable Tricep Extension
1063,Lying Band Extensions (Hold Stretch for 4 Seconds)
1064,DB Side Lateral Raises
1065,Iron Cross
1066,Dead Bug
1067,Alternating Plyo Push Up w
1068,"Wide Grip Lat Pulldown (or, Wide Grip Pullup)"
1069,Seated Arnold Press or Upright Rows
1070,Sumo Squats
1071,Kettlebell Squat
1072,Parallel Bar or Bench Dips
1073,Slide Plank w
1074,Tricep Band Push Downs or Bench Tri
1075,Standing Dumbbell Shoulder Press
1076,Low Plank to Shoulder Tap
1077,Feet-Elevated Push Ups
1078,T Push Ups
1079,Front Squat
1080,Single Leg Extensions
1081,Incline Dumbbell Curl
1082,Abdominal Air Bike
1083,Pull Down
1084,Deadlifts @ 95%
1085,Rear Delt Flyes with Pause
1086,Decline Sit Ups
1087,Cable Crunch - Burn
1088,Pikes (Feet On Swiss Ball)
1089,Incline Barbell Bench Press - Warmup 85%
1090,Lateral Body Saw
1091,Deficit Deadlift
1092,Calf Raises 
1093,Weighted Sit Ups or Side Bends (Alternate)
1094,Hammer Machine Incline Press
1095,Standing Overhead Press
1096,One Arm Dumbbell Tricep Extension
1097,Weighted Back Hyperextension Hold
1098,Running in Place
1099,Cable Wood Chop
1100,Ab Crunch
1101,Reverse Lunge From Deficit
1102,Wide Grip Pulldown
1103,Weighted Chin
1104,Standing Kettlebell Press
1105,Seated Row
1106,Neutral Grip Dumbbell Press
1107,Standing Cable Crossovers
1108,Neutral Grip Incline Bench Row
1109,Dragon Flag
1110,Machine Shoulder Press
1111,Narrow Grip Pull Up
1112,Dumbbell Tricep Extension
1113,Med Ball Leg Raise
1114,9
1115,Pushup (2 Sec Hold)
1116,Cable Wood Choppers
1117,Superset - Bent Over Rear Laterals
1118,Speed Squats (50-60% of your Max)
1119,Hanging Knee Ups
1120,Box Squats
1121,Heavy Quad Set
1122,Triceps Extensions Behind Head
1123,Water Rowing Machine
1124,Arm Circles (Clockwise)
1125,Dips (Using bodyweight)
1126,Half Kneeling Dumbbell Alternating Overhead Press 
1127,Kettlebell Step Up
1128,Skullcrusher and Press Combination - Warmup 80%
1129,Leg curl
1130,Deadlifts (Ramped)
1131,Narrow Grip Low Pulley Cable Row
1132,Calf Press 
1133,Side Plank + Hip Dips
1134,Decline Tight Dumbbell Press
1135,Dumbbell Flyes
1136,Leg Curl (Seated or Lying)
1137,Standing Dumbbell Curls
1138,Machine Preacher Curl
1139,Standing Curl
1140,Half Kneeling Cable Chop
1141,Lunge Jumps
1142,Dumbbell Rear Foot Elevated Split Squat 
1143,Standing Barbell Military Press
1144,Flat bench dumbbell or barbell press
1145,DB Overhead Extension
1146,Donkey Calf Raise
1147,Bench Press - Start with 90% and add 5lbs to each set
1148,3
1149,Deadlift - Working Set
1150,Triceps Pressdown
1151,Neutral grip pull-up
1152,Close Grip Push Up (1 Sec Hold)
1153,Tricep Pressdown
1154,Assisted Dips
1155,Rear Delt Cable Crossover
1156,Cambered Bar Pressdown
1157,Lunges
1158,Superset: Standing Calf Raise and Seated Calf Raise 3×10 (Rest 30-45 seconds between moves and 60-75 seconds between rounds)
1159,Seated Dumbbell Lateral Raise (standing shown)
1160,Walking Barbell Lunge
1161,1
1162,Backward Lunges On The Smith Machine
1163,Single Arm Dumbbell Shrug
1164,Dumbbell Preacher Curl 
1165,Plank Taps
1166,A1: Incline Dumbbell Flys
1167,Right Leg Roundhouse
1168,Reverse Grip Cable Curl
1169,Overhead Kettlebell Extension
1170,Single Leg Calf Press
1171,Band Pulldown
1172,Bear Crawls
1173,Pullovers
1174,Standing Cable Reverse Fly
1175,Incline Elbows Out Dumbbell Curl
1176,One Arm Lat Pulldowns
1177,Seated Pulley Row
1178,Ground to Overhead with Plate
1179,Deadlifts @ 70%
1180,Kettlebell Sumo Squats
1181,Cable Crossovers (Drop Set)
1182,Barbell Back Squat (Use 20% less weight than your previous working sets)
1183,Timed Shuttle Run (at least 10 yards)
1184,Bulgarian Split Squat
1185,Dumbbell Lunge (each side)
1186,4B: Single Leg Calf Raises
1187,Seated Barbell Press
1188,Smith Bench Press with Bands
1189,Bench Press
1190,Leg Curl - Working Sets
1191,Weighted Dips
1192,BMI (Using Navy Calculation %)
1193,- Supermans (w/5lb plates)
1194,Reverse Curl
1195,Dumbbell Flat Press
1196,Machine Reverse Fly
1197,Alternating Hammer Curl
1198,Landmine Concentration Curl
1199,Dumbbell Shrugs (Work up to max set of 10 reps then 3x10 reps heavy as possible)
1200,Barbell Row (Ramped)
1201,Weighted Knee-Ins
1202,Dumbbell Lunge (superset)
1203,Standing Alternating Dumbbell Curl
1204,"Sit Up, Stand Up"
1205,Shoulder Tap Push Ups
1206,Quad Walk
1207,Plate Chop
1208,Power Barbell Shrugs (Explosive)
1209,Leg Press (Be creative) ******
1210,Superset - Machine Overhead Press
1211,Lateral Tuck Jump w
1212,Neutral Grip Bench Press
1213,Glute Cable Kickbacks
1214,BB Flat Bench Press (with 40x0 tempo)
1215,X Jumps
1216,Kettlebell Side Bend
1217,Cable Tricep Extensions
1218,Pushups 
1219,Dumbbell Squat
1220,Single Arm Incline Cable Side Lateral
1221,Leg Curls
1222,Explosive Bent-Over Dumbbell Row
1223,of 1RM 
1224,Wide Pikes
1225,Leg press/leg extension superset
1226,Cable Curls
1227,Landmine
1228,Sled Pull
1229,Left Leg Lunge
1230,Seated Toe Raise
1231,Chest Down Pause Row
1232,Rope Push-Downs
1233,Lying Cable Tricep Extension
1234,A2: Rear Delt Rope Pull
1235,Hammer Concentration Curls
1236,Lying Side Laterals
1237,4-Way Neck Machine
1238,Triangle Push
1239,Squats
1240,Bodyweight Squat
1241,Superset - Smith Machine Bench Press
1242,Reverse Cable Curls
1243,Incline Bench Press (Dumbbell or Barbell)
1244,Bodyweight Single Leg Deadlift
1245,(Weighted) Glute Bridge
1246,Right Leg Lunge
1247,Weighted Dips w/Chains
1248,Bent Overhead Cable V-Bar Extension
1249,Calf Raises
1250,Single Leg Calf Raises or Squat Calf Raises
1251,Dips or Pushups
1252,Machine Row - Warmup 80%
1253,Standing Chest Fly (2 Sec Hold)
1254,Dumbbell Tricep Kickbacks
1255,- Set 6 at 100%
1256,Weighted Jump Squats
1257,Incline Chest Machine Press 
1258,Optional Exercise 1
1259,Dumbbell Decline Bench Press
1260,Dumbbell Shrugs (Rest-Pause)
1261,Decline Hammer Machine Press
1262,Single Arm Kettlebell Deadlift
1263,Narrow Stance Leg Press
1264,Low Plank
1265,Good Morning
1266,Conventional Deadlift
1267,Wipers
1268,Pendlay Barbell Row
1269,Arnold Press
1270,Tighten the Core
1271,Superset - Barbell Curls
1272,Upper Body Sled
1273,Barbell Walking Lunge
1274,Single-Leg Press
1275,Plie Squat
1276,Single Arm Kettlebell Curl
1277,Bent Over Lateral Raise (Pyramid up in weight)
1278,Standing Underhand Cable Row
1279,Seated Cable Row - Warmup 80%
1280,Horizontal Leg Raise (floor)
1281,Seated Dumbbell Shrug
1282,Wide Stance Squats
1283,Ball Slams
1284,Speed Trap Bar or Barbell Rack Pull
1285,Curls 
1286,Wide Grip Bench Press
1287,"Supermans (on ground, no weight)"
1288,Dumbbell Step Up
1289,Push Up or Push Up w/ Elevated Feet
1290,Jabs
1291,Overhead Walking Lunge
1292,Lower Back Hyperextensions
1293,Wide-Grip Pull-Up Or Pulldown
1294,Sit
1295,Landmine T
1296,Barbell Snatch Grip Deadlift
1297,Finisher
1298,Power Clean
1299,Weighted Squat
1300,Barbell Romanian Deadlift
1301,Saws - Forward Only
1302,Swiss Ball Crunches
1303,Reverse Hyperextension
1304,Close Grip Pull Down
1305,Zottman Hand Curl
1306,Romanian Deadlift - Muscle
1307,Straight arm lat pull down (2-1-2 rep timing)
1308,Side Lateral
1309,Barbell Upright Row
1310,"Pec Dec (After last set, drop weight and immediately do a 4th set)"
1311,Donkey Calf Raises
1312,Lying Leg Curl Machine
1313,Close Grip Bench Press
1314,Set 10
1315,Pull Ups or Inverted Row
1316,Single Arm DB Row
1317,Bent Over Dumbbell Row
1318,Incline Bayles Extension
1319,Hammer Strength Row
1320,Bent-Over Dumbbell Row
1321,Squats (Drop set)
1322,Machine Adduction
1323,Diamond Push-Ups
1324,Floor Press @ 85%
1325,Tall Kneeling Suspension Roll
1326,1 Arm Dumbbell Row
1327,Dumbbell Side Laterals
1328,Floor Toe Reach
1329,Weighted Medium
1330,1a) Dumbbell Floor Press
1331,Hack Squat - Burn
1332,- Set 5 at 90%
1333,Pullup
1334,Seated Elbows Supported Tricep Extension Machine
1335,Chin Up Bar Hang
1336,Hammer Strength Machine Bench Press
1337,Tall Kneeling Medicine Ball Chest Pass
1338,Bench Press @ 80% (75% if paused)
1339,Wide Grip Pullups
1340,Barbell Back Squat
1341,Seated Leg Curl (Dagger)
1342,Smith Machine Shrugs
1343,Barbell Ab Rollout
1344,Zottman Curl (Pump)
1345,"Pushups (drop to knees, if needed)"
1346,Dumbbell Incline Side Raise
1347,Cable Tricep Extensions w/Rope (45 secs rest between sets)
1348,Sit Up
1349,High Knees
1350,Cross Leg Squat
1351,Aerobic Power (Battle rope work)
1352,Y-Raise
1353,Standing Banded Hip Abduction
1354,Half Kneeling Dumbbell Overhead Press
1355,Seated Calf Raises
1356,Single Arm Hammer Strength Press
1357,Overhead Lat Pull Down Curl
1358,Barbell Stiff Leg Deadlift
1359,Band Leg Curl
1360,Resistance Band Deadlift
1361,Barbell Row (5x5) or Dumbbell Row (3x6-10)
1362,Lateral Plank
1363,Seated row drop set
1364,Banded Row
1365,Seated Dumbbell Lateral Raises
1366,Hack Squat or Leg Press
1367,Medium-Width Grip Pull-ups
1368,Stiff-Leg Deadlift
1369,Side Lateral Dumbbell Raises
1370,Reverse Barbell Curl
1371,Overhead Press
1372,Lying Band Leg Curl
1373,Incline Bench Dumbbell Fly
1374,% Difference from Start BMI
1375,Iso Kick Backs
1376,Supported Rows on Incline Bench
1377,Decline Dumbbell Fly
1378,Landmine RDL
1379,EZ Bar Bicep Curls
1380,Close Grip Pull Downs
1381,Close Grip 3 Board Bench Press
1382,Straight Leg Toe Touch
1383,Squats - Warmup 70%
1384,Dumbbell Jump Squat
1385,Supine Barbell Triceps Press 
1386,Machine Standing Calf Raises
1387,Bodyweight Lunge
1388,Horizontal Leg Press Machine
1389,Dumbbell Shrug & Hold
1390,Front Split Squat 
1391,Weighted Sit Ups 
1392,Ring Lay Outs
1393,Standing Medicine Ball Chest Pass
1394,Extended Plank Dumbbell Row 
1395,Superset - Stiff Leg Deadlift
1396,Bodyweight Squat Jumps
1397,Superset: Feet-elevated inverted row and burpees
1398,Close Grip T Bar Row
1399,Barbell Curls 
1400,Barbell or Dumbbell Thrusters
1401,Wide Grip Lat Pulldown
1402,Hamstring Curl
1403,Superset - Cable Crossovers
1404,Cross-Hook Combo
1405,Rack Pull
1406,Superset - Back Extension
1407,Kettlebell Sumo Deadlift
1408,Single Arm Cable Bent Rear Delt Fly
1409,Band Pushdown
1410,Bent Leg Raises
1411,Butterflys
1412,High Bar Back Squat
1413,Front Rack Kettlebell Reverse Lunge
1414,Standing Barbell Calf Raise
1415,1-arm Rows (Dumbbell or Barbell)
1416,Standing Barbell Calf Raises
1417,Lateral Squat Jumps
1418,Flat Bench Dumbbell Fly
1419,Push Press
1420,Hyper Extension 
1421,One Arm Kettlebell Floor Press
1422,Superset - Hammer Curls
1423,Seated Incline Dumbbell Side Lateral
1424,Dumbbell Skull Crushers
1425,Weighted Rear Foot Elevated Bulgarian Split Squats
1426,Heavy Dumbbell Shrug
1427,Banded Lateral Raise
1428,Tall Kneeling Neutral Grip Dumbbell Front Raise 
1429,Seated Dumbbell Press - Warmup 70%
1430,Reverse Dumbbell Fly
1431,Steam Engine Twists
1432,Incline Barbell Bench Press *
1433,Superset: Heels Elevated Barbell Squat and Glute Ham Raise (Rest 60-75 seconds between moves and 75-90 seconds between rounds)
1434,Upright Row - Muscle
1435,Cable Tricep Extension
1436,Dumbbell 3 Second Eccentric Front Squat
1437,Strict Barbell Curl
1438,Stability Alternates
1439,10 Yards
1440,Frog Jumps
1441,Close Grip Resistance Band Pull Down
1442,Chin Up or Resistance Band Pulldown
1443,Lateral Power Skips 
1444,Band or Cable Curls
1445,Bent
1446,Inverted row
1447,Glute Kick Backs
1448,Full Situp
1449,Front Rack Kettlebell Squats
1450,Tall Kneeling X Pull
1451,Exercise Ball Crunch
1452,Med Ball Wall Slam
1453,Single Leg Split Squat
1454,Bent Over Reverse Dumbbell Fly
1455,Reverse Barbell Lunges
1456,Belt Squat
1457,Superset: Box jumps and sled drag – push/pull or sprint intervals
1458,Kneeling Concentration Curls
1459,Standing on One Foot Hammer Curls
1460,Squats @ 90%
1461,Dumbbell Stiff Leg Deadlift
1462,Alternating Band Curls (Hold Contractions for 4 Seconds)
1463,Walkouts (From Knees)
1464,Seated Leg Curl (Rest-Pause)
1465,Decline Dumbbell Press
1466,Farmers Walks
1467,Smith Machine Upright Row
1468,JM Press
1469,Underhand Grip Seated Cable Row
1470,Bench Shrug ***
1471,Superset - Dumbbell Side Lateral
1472,Walkouts 
1473,Skullcrushers or Seated Two Arm Dumbbell Extensions
1474,Wide Grip Lat Pull Down
1475,Fireman Butt Kicks
1476,Jump Squats
1477,Feet Elevated Push Up
1478,Dumbbell Reverse Fly Drop Set
1479,Bicycles
1480,Rocking Ankle Mobilization 
1481,Front lat pulldown
1482,Dips or Push Ups
1483,Plank Left Arm Raised
1484,Single Arm Face Pull
1485,Hammer Strength Incline Bench Press
1486,Plank with Overhead Cable Row
1487,Prowler Push
1488,Incline EZ Bar Skullcrusher
1489,Neutral Grip Dumbbell Front Raise 
1490,Close-Grip Bench Press
1491,Zottman Curl
1492,Ab Wheels or Barbell Rollout
1493,Dumbbell or Machine Lateral Raise
1494,Rope Press Down
1495,Reverse Lunges
1496,Lying Single Leg Band Curl
1497,Suitcase Carry
1498,Bodyweight Single-Leg Deadlift
1499,(Weighted) Chin-ups
1500,Angled Handled Cable Curl
1501,Bent Row
1502,30 Yards
1503,Seated calf raise
1504,Push Ups to Punches
1505,Fast-Paced Walk
1506,Inclined lying leg curl
1507,Weighted Pushup
1508,"Kettlebell Clean, Squat and Press"
1509,Machine Tricep Dips
1510,Overhead Cambered Bar Extensions
1511,Tricep Rope Pushdown
1512,Rear Delts On Pec Dec
1513,Moving Side Plank
1514,Dumbbell Row or Close-Grip Pull-Up
1515,Full-Range Squat
1516,Swiss Ball Plank
1517,Stability Alternates (knees or Swiss Ball)
1518,110% of 1RM
1519,Lying Leg Raise
1520,Alternate Dumbbell Curl
1521,Decline Bench Leg Raise
1522,Back or Front Squat
1523,Dumbbell Bent Over Side Raise
1524,Lactate Power Intervals (Rowing Machine or other intense cardio)
1525,Cable Crossovers
1526,Deadlifts @ 85%
1527,Landmine Lateral Raise
1528,"Kroc Row (2 warm up sets, then 1x20 as heavy on these as possible without straps)"
1529,Knee Ups
1530,Two Arm Cable Tricep Kickback
1531,Superset - Incline Dumbbell Bench Press
1532,2 to 3 Shoulder Exercises of Choice
1533,Lunge Twist
1534,Back Extensions
1535,Shoulder Tap Push Up
1536,Box Jump
1537,Incline Barbell Bench Press - Working Sets
1538,Rear Bodyweight Lunge
1539,Barbell Overhead Shrug
1540,Hammer Strength Bench Press - Muscle
1541,Narrow-Grip Lat Pulldown
1542,Dumbbell Pullover
1543,"Tricep Dips (Weighted, if possible)"
1544,Superset: Dumbbell Bench Press & Two Arm Dumbbell Row
1545,Incline Skullcrusher
1546,Alternating Standing Lateral Raise
1547,Leg Press - Warmup 70%
1548,(Weighted) Pull Ups
1549,Superset - Squats
1550,Weighted Sit Up
1551,Barbell Ab Roll Out
1552,Machine Side Lateral Raises
1553,Seated Alternating Dumbbell Curls
1554,Decline Dumbbell Situps
1555,Tricep Dips
1556,Seated Behind the Neck Press
1557,Toes to Bar or Hanging Knee Raises
1558,Dumbbell Lying Leg Curl (on the floor)
1559,Strict Pull Ups
1560,Dip
1561,Alternating Kettlebell Box Step Ups
1562,One Leg Dumbbell Calf Raise
1563,Sissy Squat
1564,Seated Machine Lateral Raise
1565,Shoulder Wide Grip Barbell Front Raise
1566,Flat Dumbbell Bench Press
1567,Squat Jumps
1568,Wide Grip Pulldowns To Rear
1569,Alternating Dumbbell Curls
1570,Weighted Chin Up
1571,Side Plank w
1572,Cable Tricep Extensions - Working Sets
1573,Dumbbell RDLs
1574,Pec Dec - Working Sets
1575,Standing hammer curls
1576,Push Jerk
1577,Left Leg Roundhouse
1578,Kettlebell Angled Press
1579,Standing V Bar Row to Chest
1580,Skullcursher
1581,Superset - Seated Reverse Dumbbell Wrist Curl
1582,Lateral Lunge
1583,Incline bench dumbbell press
1584,Standing Side Bend
1585,Band Lateral Raise
1586,Incline Curl/Dumbbell Kickback
1587,Oblique Crunch
1588,Superset - Bench Press
1589,Oblique Crunches (each side)
1590,Half Kneeling Cable Face Pull
1591,Bent Over Rear Lateral Raise
1592,Single-Arm Kettlebell Row
1593,Superset - Machine Row
1594,Fat Percentage Burned
1595,Superset - Two Arm Dumbbell Preacher Curls
1596,Burpees (without jump)
1597,Seated Rows
1598,Superset - Hack Squats
1599,Plyometric Squat
1600,Windshield wiper/plank
1601,Tall Kneeling Dumbbell Alternating Overhead Press 
1602,Assisted Pull Up
1603,Stiff Leg Deadlift - Working Sets
1604,Rope Crunches
1605,14
1606,Stairmaster or Stairstepper
1607,Bodyweight Skullcrushers
1608,Banded Hip Abduction
1609,Crunch Machine
1610,"- Supermans (on ground, no weight)"
1611,Neutral-Grip Pulldowns
1612,Wrist Curl
1613,Incline bench dumbbell press or incline Hammer Strength press
1614,Wide Stance Leg Press
1615,Kettlebell Snatch
1616,Tricep Cable Overhead Extension
1617,Seated Dumbbell Shoulder Press
1618,Kneeling Dumbbell Military Press
1619,Core:
1620,Cable or Machine Rows
1621,Dumbbell Rear Lunge
1622,Underhand Grip Bent Row
1623,Partial Deadlift
1624,Pause Bench Press @ 75-80%
1625,Alternated Machine Shoulder Press
1626,Rack Pull Deadlift
1627,Band Pull-Apart
1628,Hyper-Extension
1629,Pull Up (Add weight if you can do 15+ reps)
1630,1/2 Mile Run
1631,Power Snatch or Single Arm Dumbbell Snatch
1632,Alternating Hammer Grip Front Dumbbell Raise
1633,Band Pushup
1634,Seated Dumbbell Curl (alternate arms)
1635,Feet Elevated Diamond Push-Ups
1636,Plank With Feet On Bench
1637,Set 2
1638,Lat Pull Down To Chest
1639,Flat Barbell Bench Press (Use 20% less weight than your previous working sets)
1640,Incline Dumbbell Flys
1641,Pistol Squat
1642,Parallel dip/mountain climber
1643,V Bar Tricep Pushdown
1644,Banded Hammer Curl
1645,Assisted Pull Ups
1646,Standing Barbell Curls
1647,Pendlay Row (Warm-up)
1648,Seated Dumbbell Arnold Press
1649,Pike Layouts 
1650,5 Second Isometric Bicep Contractions
1651,Incline Dumbbell Bench
1652,External & internal cable rotation AND standing DB rotation
1653,9%
1654,Tall Kneeling Medicine Ball Side Pass
1655,Kettlebell High Pull
1656,Reverse Grip Pull-Downs
1657,Two
1658,Front Squat Work Sets
1659,Bicycle crunch/hanging leg raise
1660,Medium Grip Pull Up
1661,Overhead Cable Extensions
1662,Bench Press - Power
1663,Walk
1664,Handstand Push Up Against Wall
1665,Wide-grip pull-up/plyo push-up
1666,Barbell Snatch Grip Upright Row
1667,Rope T
1668,Heavy Conventional Stance Deadlifts - Week 1
1669,Leg Extensions 
1670,Parallel Squats - Week 1
1671,Cable crunch
1672,Straight Arm Rope Pull Down
1673,Ring Inn & Outs
1674,Underhand Grip Pull Down
1675,Front Rack Kettlebell Walking Lunge
1676,Bent Over Two Arm Dumbbell Row
1677,Russian Twist
1678,Seated Dumbbell Extension
1679,Wide Unilateral Lat Pull
1680,Dumbbell Pec Fly
1681,Bench Press @ 80-85%
1682,Superset: Banded flat bench fly or push-up and inverted row
1683,1 Mile Run
1684,Seated Machine Press
1685,Seated Overhead Press
1686,Reverse Grip Barbell Row
1687,Dumbbell Press/Barbell Front Raise superset
1688,Slight Incline Neutral Grip Dumbbell Press
1689,Reverse Machine Fly
1690,Low Back Extension (drop sets)
1691,Bodyweight Hyperextensions
1692,One Arm Seated Dumbbell Extension (Pump)
1693,Leg Press Calf Raise
1694,Tricep Push Up
1695,Single Arm Overhead Extension
1696,Smith Machine Incline Bench Press
1697,Plate Arches
1698,Modified Hamstring Raise
1699,85% of 1RM
1700,Dumbbell Incline Row
1701,Reverse Grip Low Cable Curl
1702,Standing Calf Raise Machine
1703,Goodmorning
1704,Barbell Reverse Curls
1705,Banded Glute Bridges
1706,Incline Bench Press 
1707,Romanian Deadlift
1708,Band Fly
1709,Static Crunch
1710,Drop 15%
1711,Plank Left Foot Raises
1712,Tri set: Assisted pull ups/lat pull down/seated row
1713,Core Work
1714,Optional Exercise 2
1715,RFESS 
1716,Underhand Seated Cable Row
1717,Thai Crucifix
1718,Dumbbell Overhead Press
1719,Stair Jumps
1720,Barbell Hip Press
1721,Chest Dips (weighted if possible)
1722,Good Mornings
1723,Side Medicine Ball Throw
1724,Hammer Curl with Lunges
1725,Low Back Extension
1726,Strict Overhead Press
1727,Reverse Crunch
1728,Step Ups
1729,Superset: Parallel bar dip and inverted row
1730,Lying Leg Curl (Rest-Pause)
1731,Shrugs
1732,Single Leg Reverse Hyper 
1733,Leg Extensions - Warmup 80%
1734,Safety Bar or Front Squat
1735,Superset: Flat bench dumbbell press with two-arm dumbbell row
1736,21’s w/ straight bar
1737,Bent Over Concentration Curls
1738,V-Ups
1739,BB Anterior Loaded Bulgarian Split Squat
1740,Seated Face Pulls
1741,Dumbbell Shrug (1 second pause at top)
1742,Narrow Grip Push Ups
1743,Chest Supported Rows
1744,Jump Squat or Box Jump
1745,Incline One
1746,Hand Chest Press and Row
1747,Rope Hammer Cable Curl
1748,Leg Press Calf Raise - Burn
1749,Rear Delt Fly
1750,Incline DB Press
1751,Lying Tricep Extension
1752,Activation Rows
1753,Bicycle Crunches
1754,DB Incline Fly
1755,Bent over isolation dumbbell curls
1756,Reverse EZ Bar Curls
1757,Dumbbell Flyes or Pec Dec
1758,Superset: 3-way push-up and chest-to-bar pull-up
1759,High to Low Machine Row
1760,"Giant set: Box or squat jump, bench step-up, one-leg calf raise and walking lunge"
1761,Suitcase Carries
1762,Medicine Ball Plank (from knees)
1763,Palov Press - Press Straight Out
1764,Side Lying Clams
1765,Tricep Kickback
1766,Broad Jumps
1767,Med Ball Sit Up
1768,Sled Drag
1769,One Arm Reverse Fly
1770,Lying Tricep Extension (skullcrusher)
1771,Half Kneeling Medicine Ball Chest Pass
1772,Superset: Push-up and pull-up
1773,Superset - Pull Ups
1774,Band Front Raise
1775,Incline Bench Press Work Sets
1776,Lying Floor Leg Raise
1777,Wide Smith Machine Squat
1778,High Rep Squats
1779,Stiff Leg Deadlift - Power
1780,Incline Bench
1781,Dumbbell Flat Bench Chest Flys
1782,Banded Glute Bridge
1783,Dumbbell Skullcrushers or Tricep Extensions
1784,Push Up with Feet Elevated or Feet on Wall Push Up
1785,Rope Cable Hammer Curl
1786,Superset: Step-up and single leg calf raise
1787,Close Stance Squats
1788,Dumbbell Lat Raises
1789,"Walking Lunge (You can hold dumbbells, use chains around your neck or carry a barbell on your shoulders in the standard back squat position)"
1790,Close-Grip Barbell Bench Press
1791,Seated Barbell Curl
1792,Heavy Cheat Curl Negatives
1793,Fire Hydrant
1794,1 Arm Row
1795,Alternating Plyo Lunge
1796,Bicep Hammer Curls
1797,Treadmill Sprint
1798,Superset - Seated Cable Rows
1799,Donkey Kicks
1800,Mountain Climbers
1801,Banded Face Pull
1802,Side Lateral Raise
1803,Neutral Grip Dumbbell Biceps Curl
1804,Dumbbell High Pull (Seated)
1805,Bodyweight Leg Curl
1806,Leg Extension ***
1807,Overhead Band Tricep Extension
1808,Stability Ball Crunch
1809,Superset - Dumbbell Flye
1810,Rope Tricep Pressdown
1811,Cable Crossover or Pec Dec
1812,Set 3
