,exercise
1180,barbell clean and press
1181,cable crossovers drop set
1182,push up with resistance
1183,barbell rows  power
1184,pec dec
1185,overhead dumbbell tricep extension
1186,lateral step up jumps
1187,incline db row
1188,standing one leg dumbbell calf raise
1189,bird dog 
1190,prisoner squat hold at the bottom
1191,rotator cuff warmup
1192,standing calf raise machine
1193,10 yards
1194,sled drag
1195,incline bench
1196,machine flat press
1197,barbell front squat use 20 less weight than your previous working sets
1198,widegrip lat pulldown
1199,kneeling band lat pulldowns
1200,frog sit up
1201,walk outs
1202,widegrip pullup or pulldown
1203,leg extensions or leg press
1204,12
1205,shrugs
1206,ez bar bicep curls
1207,superset  dumbbell side lateral
1208,tall kneeling pallof press
1209,arm circles counter clockwise
1210,hammer strength bench press  muscle
1211,dumbbell shoulder press
1212,kettlebell pullover
1213,hip thrust
1214,seated ball dumbbell shoulder press
1215,dumbbell iso curl
1216,wide grip pulldown
1217,by lifting 1 leg for 10secs
1218,right leg lunge
1219,body flex with chair
1220,dumbbell concentration curl
1221,4way neck machine
1222,close grip seated cable row
1223,superset  machine chest press
1224,hammer curl with lunges
1225,preacher curl
1226,half kneeling facepull
1227,barbell jump squat
1228,standing single arm lateral raise
1229,flat bench dumbbell press
1230,rear delt machine fly
1231,overhead extensions
1232,2b reversegrip chinups
1233,kettlebell angled press
1234,resistance band overhead press
1235,bicep curls
1236,side hover
1237,wrist rotations
1238,one legged leg press
1239,deadlifts  85
1240,incline dumbbell flye
1241,ab wheels or barbell rollout
1242,superset  leg press calf raise
1243,dumbbell skull crushers
1244,low back extension drop sets
1245,prisoner squat
1246,incline cable front raise
1247,kettlebell swings
1248,6
1249,ab crunch machine
1250,core
1251,hanging leg raises
1252,feet elevated pushups
1253,box jump
1254,reverse grip tricep cable pushdown
1255,close grip pull down
1256,squats  warmup 70
1257,speed squats 5060 of your max
1258,one arm cable preacher curl
1259,deadbugs
1260,heavy quad set
1261,20 secs
1262,machine hamstring curls
1263,dips  superset 3
1264,cable crossover or machine flys
1265,barbell preacher curls
1266,week 6
1267,stability ball crunch
1268,dumbbell shrugs  working sets
1269,machinehammer strength chest press
1270,dumbbell chest fly 
1271,leg press  warmup 85
1272,front rack kettlebell squats
1273,elevated push ups
1274,machine chest press restpause
1275,dumbbell bent over row
1276,farmers walks
1277,incline db flyes
1278,widegrip upright rowturkish getup
1279,inverted rowside lunge
1280,swiss ball roll
1281,floor dumbbell flys
1282,21s w straight bar
1283,seated side lateral machine
1284,dumbbell rows
1285,3a romanian deadlift
1286,single arm kettlebell curl
1287,straight arm lat pull down
1288,triceps extension
1289,superset  walking dumbbell lunge
1290,barbell lunges
1291,bayles extension
1292,dumbbell kneein
1293,bench press  cluster sets
1294,trx leg tucks
1295,smith squats
1296,overhead alternating dumbbell extensions
1297,barbell bent over row
1298,shoulder press
1299,seated one arm dumbbell extrension
1300,bicep curl with resistance
1301,seated pulley row
1302,single arm kettlebell shoulder press
1303,palov press  press straight out on swiss ball
1304,straight arm rope pull down
1305,dumbbell bench press drop set on last set
1306,band curl
1307,smith machine shrugs
1308,vbar tricep pressdowns
1309,dumbbell lunge each side
1310,barbell good mornings
1311,lying tricep extensions
1312,band pull apart
1313,superset  seated two arm dumbbell extension
1314,skullcursher
1315,1 to 2 hamstring exercises of choice
1316,floor press  80
1317,standing barbell curl or standing dumbbell curl
1318,seated bent over lateral raise
1319,superdogs
1320,underhand barbell row
1321,superset hip thrust and sissy squat rest 6075 seconds between moves and 7590 seconds between rounds
1322,warrior twist
1323,bb incline press
1324,walking dumbbell lunge
1325,cable preacher curl  burn
1326,situphanging kneeup
1327,jog around the block 2
1328,barbell shrug
1329,superset  bench dips
1330,kneeling shoulder press
1331,burpees without jump
1332,banded glute bridges
1333,incline bayles extension
1334,set 11
1335,hammer row 
1336,landmine
1337,straight bar pushdown
1338,75 of 1rm
1339,landmine concentration curl
1340,banded face pull
1341,lying march
1342,cable or machine rows
1343,kettlebell renegade row
1344,high standing cable curl
1345,standing calf raise 
1346,static handstand hold
1347,rope cable tricep extensions
1348,heavy dumbbell front raise
1349,squats  drop 5 cycle
1350,widegrip pullup
1351,banded tricep extension
1352,hammer strength incline bench press
1353,lying or seated leg curl
1354,7
1355,cable tricep extension pump
1356,high knee runs
1357,ball chest flys
1358,isometric cable curl hold 
1359,romanian deadlift  muscle
1360,planks
1361,overhead press
1362,air squats
1363,feet elevated suspension supine row
1364,flutter kicks
1365,barbell french press
1366,lying leg raises
1367,quarter squat from bottom position
1368,lunges alternating 3
1369,1 arm cable overhead extension
1370,180 degree jump turns
1371,lateral crawls
1372,1 to 2 tricep exercises of choice
1373,smith overhead press
1374,superset  leg curls
1375,triset squat jump static lunge and oneleg calf raise
1376,rdl
1377,barbell rdl or dumbbell stiff leg deadlift
1378,decline dumbbell situps
1379,one arm dumbbell tricep extension
1380,plank hover
1381,dumbbell bench
1382,diesel row
1383,dumbbell shrug  hold
1384,seated french press  muscle
1385,incline barbell press
1386,9
1387,jump rope
1388,cursty lunges w
1389,front reverse lunge 
1390,diamond pushupkettlebell swing
1391,standing calf machine raises
1392,rearfoot elevated bulgarian split squats
1393,rope hammer curls
1394,wide smith machine squat
1395,shoulder width pull ups or inverted rows
1396,superset  good mornings
1397,a1 incline bench dumbbell press
1398,incline press
1399,vbar pushdown 45 seconds rest between sets
1400,close grip bench press
1401,machine bicep curls  warmup 80
1402,bench press ramped
1403,partial lateral raise
1404,kettlebell double swings 1015 repsset 
1405,leg extensions  warmup 80
1406,dumbbell side laterals
1407,40 yards
1408,close grip ezbar curl
1409,incline flyes
1410,set 5
1411,weighted jump squats
1412,iso
1413,front squats
1414,seated barbell curl
1415,incline push up
1416,straight bar or incline curls
1417,hammer concentration curl
1418,seated military press  week 1
1419,machine lat pulldown
1420,widegrip barbell curl
1421,bent over dumbbell flyes  warmup 80
1422,1 arm cable tricep pulldown
1423,standing alternating hammer curls
1424,rope tricep extension
1425,ab exercise pick your favorite
1426,barbell bicep curl
1427,incline curls
1428,dips add weight if needed
1429,barbell sumo squats
1430,dumbbell tricep kickbacks
1431,iso kick backs
1432,single leg calf raises or squat calf raises
1433,band lateral raise
1434,unilateral barbell row 
1435,tricep overhead extension
1436,2a parallel bar dips or bench dips
1437,db bench
1438,reverse barbell lunges
1439,close grip 3 board bench press
1440,superset  cable curls
1441,lat pull downs restpause
1442,seated dumbbell press
1443,close grip lat pulldown
1444,"combo 1
jabcrossleft leg roundhouse"
1445,high knees
1446,hang clean to push press
1447,calories burned
1448,burpee to pull up
1449,abdominal air bike 25 reps per leg
1450,front pulldowns
1451,machine incline press
1452,iso lateral raise
1453,band upright rows
1454,wide grip lat pull down
1455,dumbbell tricep kickback
1456,abductor machine
1457,seated cable row
1458,superset incline dumbbell curl  overhead dumbbell tricep extension
1459,fastpaced walk
1460,wide grip bench press 
1461,5b lying leg raises
1462,kettlebell single leg deadlift
1463,lying triceps extensions
1464,cable crunch
1465,heavy dumbbell rows
1466,2
1467,optional exercise 1
1468,kettlebell clean
1469,pull ups or chin ups
1470,flat db fly
1471,side lateral raise
1472,cable crossovers see instructions
1473,barbell lunge
1474,overhead snatch
1475,machine dip or extension  last set drop set
1476,cable cross
1477,underhand grip pull down
1478,seated bench knee ups
1479,hyper extension
1480,hammer strength flat press
1481,pike layouts 
1482,seated smith machine press
1483,dumbbell lunge per leg
1484,single leg extensions
1485,stiff
1486,powerclean and press
1487,depth jump 
1488,weighted crunches
1489,alternating single arm preacher curls
1490,standing medicine ball chest pass
1491,50 yards
1492,overhead tricep dumbbell extension
1493,smith machine hip thrust
1494,glute hyperextension
1495,bench t
1496,hanging knee ups
1497,counterbalanced single leg squat to bench
1498,barbell good morning
1499,squats  warmup 85
1500,trx pushup
1501,box jumps superset
1502,sliding leg curl
1503,"1600
pre workout snack"
1504,situp
1505,dumbbell iso
1506,diamond push ups
1507,seated dumbbell press  week 1
1508,goblet squat to ohp
1509,turkish get up alternate each side
1510,1a dumbbell floor press
1511,medicine ball gut shredder
1512,alternated machine shoulder press
1513,plank to opposite raise 
1514,bent over reverse flyes  working sets
1515,dumbbell skullcrusher
1516,rope cable curl
1517,double plate raise
1518,skull crusher
1519,dumbbell deadlift
1520,single arm cable bent rear delt fly
1521,neutral grip bench press
1522,smith machine behind the neck press
1523,stiff leg deadleg curl supersetdropset
1524,reverse sled drag
1525,superset  cable crunches
1526,seated dumbbell curl
1527,triset lying leg raise floor crunch and plank
1528,stiff leg deadlift with dumbbells pyramid up in weight
1529,side lateral dumbbell raises
1530,palov press  front raise
1531,kettlebell romanian deadlift
1532,wide stance leg press
1533,45 degree calf raise   burn
1534,barbell overhead shrug
1535,wide grip pull up
1536,dumbbell pinwheel curl
1537,stability ball curl
1538,reverse grip straight bar pushdown
1539,left leg lunge
1540,strict pull ups
1541,set 9
1542,reverse grip barbell curl
1543,superset pushup and pullup
1544,reverse sled drags
1545,side to side squats
1546,parallel bar dips warm up set using cable tricep extensions
1547,split jumps
1548,8 counts
1549,pull down
1550,"1200
lunch"
1551,stiff leg deadlift  warmup 80
1552,side lying dumbbell reverse fly
1553,fast run
1554,smith machine wide stance squat
1555,single leg glute bridge
1556,curls 
1557,mountain climber
1558,dumbbell spider curls 45 secs rest between sets
1559,standing high pulley curl
1560,under grip lat pull down
1561,kneeling reverse grip pressdownkneeling close grip pressdownkneeling overhead cable extension
1562,barbell hip thrust superset
1563,week 7
1564,seated rack barbell press
1565,singlearm cable lat pulldown
1566,ez bar skull crushers
1567,seated overhead press
1568,alternating dumbbell hammer curls
1569,preacher curls
1570,barbell snatch grip upright row
1571,db incline fly
1572,floor bench press
1573,standing cable low row
1574,lying band extensions hold stretch for 4 seconds
1575,overhead rope triceps extension
1576,kettlebell sumo deadlift
1577,curtsy lunge
1578,smith machine front squat
1579,1 board bench press
1580,rope face pull
1581,side bends
1582,standing inside the body alternating isolation hammer curls
1583,chest dip weighted if possible
1584,standing underhand cable row
1585,standing alternating dumbbell hammer curl
1586,plyometric squat
1587,bodyweight jump squats
1588,water rowing machine
1589,one arm barbell row
1590,high low plank
1591,singleleg press
1592,superset  bent over reverse flyes
1593,farmer walk
1594,weighted leg raise
1595,barbell shrug pyramid up in weight
1596,tbar row
1597,leg extension pyramid up in weight
1598,superset box jumps and sled drag  pushpull or sprint intervals
1599,single leg lying curl
1600,machine shoulder press 
1601,front squat or leg press
1602,spider curl
1603,single lying leg raise
1604,cable kickbacks
1605,superset  front laterals
1606,box jumps  24 to 30
1607,floor reach
1608,standing weighted calf raise
1609,back squats or front squats
1610,lying extensions
1611,1b floor dumbbell flys
1612,incline dumbbell iso press
1613,2b trx biceps curls
1614,medicine ball chest pass
1615,low incline dumbbell flys
1616,jump squats
1617,pause squat
1618,wide jump squats
1619,band pull aparts
1620,barbell biceps curl
1621,hyperextension
1622,sprints at least 20 yards
1623,bench squat 3 second pause while sitting 
1624,deadlifts  75
1625,jump squats or box jumps
1626,med ball sit up
1627,reverse grip pull downs
1628,seated overhead cable tricep extension
1629,flat dumbbell bench press
1630,feetelevated pushupjump split squat
1631,deadlift  ramped
1632,dumbbell incline side raise
1633,kettlebell rdl
1634,heavy dumbbell shrug
1635,leg press
1636,reverse grip low cable curl
1637,upward dog
1638,5a bicycle crunches
1639,dumbbell rows   muscle
1640,incline dumbbell curl 5 count twist then 2 more reps
1641,lactate power intervals shuttle runs or other intense cardio
1642,deadlifts  75 or deadlift variation if cns needs a break
1643,hyperextensions 
1644,rack pulls
1645,weighted sit up
1646,stepped toe raise
1647,lunges 
1648,dumbbell front raises
1649,weighted wide grip pull ups
1650,standing band crunch
1651,warm up cardio equipment or outdoors
1652,shrugs dumbbell barbell or trap bar
1653,hammer dumbbell curl
1654,the power rack
1655,seated calf raise 30 seconds rest between sets
1656,cable face pulls
1657,single arm dumbbell shrug
1658,skullcrushers or seated two arm dumbbell extensions
1659,leg press 7090 secs rest between sets
1660,weighted sit up with dumbbell on chest
1661,split squat
1662,weighted wall sits
1663,incline dumbbell flye  superset 1
1664,2 to 3 shoulder exercises of choice
1665,dips or cable extensions
1666,front raise long pause at the top
1667,hammer strength low row
1668,3a jump split squats
1669,a1 standing barbell shoulder press
1670,pallof press
1671,pull ups or inverted rows
1672,dumbbell lat raises
1673,pec minor dip
1674,low angle incline dumbbell press
1675,1 arm band pushdown
1676,singlearm kettlebell row
1677,high to low machine row
1678,atg ass to grass squats  week 1
1679,front lat pulldown
1680,alt grip pull ups
1681,bodyweight dips
1682,eccentric only pull up
1683,hammer strength decline press
1684,single arm cable press down
1685,cable lateral raises
1686,chest supported machine row
1687,standing wrist curl
1688,dumbbell leg curl
1689,65 of 1rm
1690,jumping lunge
1691,front cable raise
1692,hammer strength incline press
1693,b2 flat bench barbell press
1694,leaning curl
1695,cable glute kickback
1696,goblet squat
1697,lateral raise left right both
1698,romanian deadlifts
1699,weighted triceps dip
1700,incline dumbbell iso
1701,single arm dumbbell chest press 
1702,wide grip barbell upright row
1703,barbell squat
1704,hanging leg raise
1705,tricep dip
1706,hurdle hops
1707,stability ball leg curl
1708,squats  working sets
1709,shoulder presses
1710,bentover twoarm rowreverse lunge
1711,dumbbell decline bench press
1712,seated calf raises  working sets
1713,lying leg curl machine
1714,standing cable curl
1715,trap bar deadlift
1716,seated dumbbell arnold press
1717,15 incline walk
1718,100 of 1rm
1719,superset  close grip bench press
1720,single arm overhead extension
1721,triset  decline bench press
1722,dumbbell press
1723,dumbbell kickbacks 
1724,bent over dumbbell rear fly
1725,incline bench press work sets
1726,machine pull down
1727,neutral grip dumbbell biceps curl
1728,barbell squat  90 seconds between sets
1729, 
1730,band push ups
1731,drop 15
1732,db goblet lateral lunge
1733, set 5 at 90
1734,landmine lateral raise
1735,hanging knee raise twisting
1736,jabs
1737,chair step up
1738,incline dumbbell bench press  superset 1
1739,ab wheel or barbell roll
1740,rear delt fly race to 100 reps
1741,dumbbell hanging knee raise
1742,push up plank
1743,pike w stability ball
1744,kettlebell french press
1745,set 1
1746,standing barbell curl  power
1747,kettle bell hollow holds
1748,3 way plank
1749,speed barbell press
1750, medicine ball pushup
1751,smith split lunge
1752,bicycle crunchhanging leg raise
1753,barbell front raise
1754,kettlebell squat
1755,single leg calf raises
1756,machine chest press  working sets
1757,plate chop
1758,close grip bench press or paused bench press
1759,machine tricep extension  50 rep death set
1760,angled handled cable curl
1761,pinwheel curls  power
1762,bench jack knife
1763,floor toe reach
1764,sandbag shoulderingasymmetrical squat
1765,dumbbell lateral raise to front raise
1766,shoulder wide grip barbell front raise
1767,barbell or dumbbell thrusters
1768,abdominal air bike
1769,trx row
1770,plyo hand clap pushup
1771,skullcrusher  muscle
1772,low pulley crunches
1773,broad jumps
1774,twisting bench crunch reps are per side
1775,exercise ball crunch
1776, difference from start bmi
1777,wide stance good morning  muscle
1778,bench shrug 
1779,straight leg hold
1780,plie squat
1781,lying dumbbell tricep extension
1782,calf exercise
1783,machine press or dumbbell bench press
1784,horizontal leg press machine
1785,behindtheback shrug
1786,treadmill sprint
1787,half kneeling cable face pull
1788,handstand
1789,incline bench press 1525 degrees pyramid up in weight
1790,1c close grip dumbbell press on the floor
1791,superset  two arm dumbbell row
1792,close grip preacher curl
1793,barbell push press
1794,rack pull
1795,planks front and sides
1796,hanging leg lift
1797,squats  up to 495
1798,dumbbell hammer curl
1799,leverage chest press
1800,machine curl
1801,decline sit up
1802,calories from fat
1803,single arm crossbody rope tricep extensions
1804,machine bicep curls  working sets
1805,reverse hack squat
1806,superset  barbell shrugs
1807,bicycle crunch
1808,straight bar tricep extension
1809,2 to 3 back exercises of choice
1810,dumbbell incline bench press
1811,dumbbell lateral raise  burn
1812,push ups with feet elevated
1813,chest supported row
1814,weighted decline sit ups  muscle
1815,tire flips
1816,ab machine oblique crunch
1817,clam shells
1818,2c reverse hyper
1819,back extension
1820,push up to burpee
1821,cable bent over reverse flye
1822,neutral grip overhead press
1823,5
1824,chin extension press
1825,pullups or bent over rows 3
1826,good morning
1827,ski abs
1828,machine pull up
1829,exercise ball ab crunch
1830,wide grip ezbar curl
1831,assisted pull up
1832,15
1833,rope curls
1834,overhead kettlebell extension
1835,soldier walks
1836,diamond pushups
1837,dumbbell chest press
1838,barbell or ab wheel roll outs
1839,wide grip pull
1840,90 of 1rm
1841,machine curls
1842,bench cable flyspushups superset
1843,superman
1844,2 chair press up
1845,bodyweight deadlifts
1846,pavlov press
1847,seated machine press
1848,machine tbar row
1849,dumbbell eccentric front squat
1850,single arm cable crossover
1851,push ups on knees if needed
1852,single arm lateral raise
1853,single leg calf raise
1854,seated alternating dumbbell curls
1855,triceps dips
1856,dumbbell stiff leg deadlifts
1857,pull ups or inverted rows restpause
1858,suitcase carry
1859,front squat or goblet squat
1860,med ball leg raise
1861,wheel barrow walks feet on sliders
1862,butterflys
1863,straight bar pushdowns
1864,hammer row
1865,neutral grip cable row
1866,of 1rm 
1867,band twists
1868,dumbbell press with slight incline
1869,pullovers
1870,seated barbell wrist curl
1871,bodyweight singleleg deadlift
1872,modified arching pull up
1873,deep squats 3 second pause at bottom
1874,reverse dumbbell press
1875,clean and press
1876,superset incline bench dumbbell press  widegrip pullup
1877,dumbbell leg extension
1878,tripod dumbbell row
1879,machine shrug
1880,db incline press
1881,pec dec fly
1882,upper body activation flow
1883,smith machine military press
1884,plank left foot raises
1885,dips or push ups
1886,band shrug
1887,front double biceps pose upper cable curl
1888,pendulum lunge
1889,banded lateral raise
1890,cable crossovers
1891,skullcrusher and press combination  working sets
1892,pullover
1893,seated dumbbell press  warmup 85
1894,crunch w feet elevated
1895,one arm preacher curl machine
1896,underhand lat pulldown
1897,goblet squats 3
1898,skips
1899,barbell back squat use 20 less weight than your previous working sets
1900,8
1901,floor pressdumbbell floor pressrack lockoutsboard presses choose 1 only rotate week to week
1902,dave draper forehead curl
1903,10 secs
1904,speed bag
1905,adduction machine
1906,shoulder or wide grip pull up
1907,isometric cable pushdowns 
1908,preacher curl machine or free weight
1909,close grip seated hammer row
1910,strict overhead press
1911,decline bench leg raise
1912,85 of 1rm
1913,rear foot elevated dumbbell split squat 
1914,tall kneeling dumbbell alternating overhead press 
1915,lunge
1916,incline alternating curl
1917,v bar tricep pushdown
1918,reverse lateral raise on incline bench
1919,superset standing calf raise and seated calf raise rest 45 seconds between moves and 75 seconds between rounds
1920,front box squat
1921,bodyweight lunge
1922,lat pulldown
1923,barbell rows
1924,weighted sit ups or side bends alternate
1925,feet elevated inverted row
1926,skullcrushers
1927,alternate v twist
1928,lower back hyperextensions
1929,wide
1930,set 4
1931,leg press increase weight as desired
1932,box jump or jump squat
1933,single arm cable kickback
1934,lunge twist
1935,band 2 arm kickbacks hold contractions for 4 seconds
1936,hammer machine incline press
1937,atg squat
1938,ab wheel or barbell roll out
1939,vertical jumps
1940,incline bench dumbbell rows
1941,chinups
1942,standing dumbbell press
1943,inner leg machine
1944,stacked one arm row amrap  switch arms
1945,hyperextensions with plate
1946,close grip dumbbell press
1947,stiff leg deadlift  power
1948,single arm behind back cable lateral
1949,narrow grip push ups
1950,leg press  muscle
1951, supermans w5lb plates
1952,bench press  80 75 if paused
1953,band hammer curl
1954,bent over kettlebell row
1955,neutral grip dumbbell press
1956,cable hammer curl
1957,calf raises
1958,push ups on smith machine barbell
1959,treadmill incline speed walk
1960,bent
1961,dumbbell rollback
1962,seated row drop set
1963,triceps  2 exercises
1964,deadlifts  80
1965,dead bugs
1966,set 10
1967,incline barbell bench
1968,hammer strength row
1969,straight leg toe touch
1970,rear delt raise
1971,bodyweight single leg deadlift
1972,flat cable flye
1973,toe raise squat
1974,seated or standing calf raise
1975,close grip push up
1976,deep push ups with hands on dumbbells
1977,chin
1978,program week
1979,rope cable pushdowns
1980,weighted decline crunch
1981,barbell glute bridge
1982,barbell reverse curl
1983,dumbbell walking lunge 
1984,medicine ball sit up to leg extension
1985,behind the back shrug
1986,alternating dumbbell curl
1987,moving side plank
1988,dumbbell frog squat
1989,dumbbell lunge superset
1990,upright row  muscle
1991,set 15
1992,incline curl
1993,seated arnold press   muscle
1994,seated leg extensions
1995,ab wheel roll out
1996,bent over isolation dumbbell curls
1997,barbell hack squat
1998,seated dumbbell shrugs
1999,alternating dumbbell shoulder pressreverse lunge
2000,weighted pull up
2001,machine glute kickback
2002,bent overhead cable vbar extension
2003,reverse grip lat pull down
2004,skullcrushers  pump sets
2005,smith machine pull ups
2006,weighted incline sit up
2007,incline machine press
2008,low rack pull and power shrug combo
2009,overhead band tricep extension
2010,4 chair jacks
2011,seated press behind the neck or military press
2012,two arm dumbbell rows
2013,trx suspension inverted row
2014,right leg calf raise
2015,horizontal biceps curl
2016,stiff leg dumbbell deadlift
2017,lying single leg band curl
2018,reverse pec deck
2019,decline sit ups
2020,barbell reverse wrist curl
2021,dumbell 1
2022,bicycles
2023,seated dumbbell shrug
2024,cable rope high pull
2025,bodyweight skulls
2026,one arm rows
2027,parallel dipmountain climber
2028,lactate power intervals rowing machine or other intense cardio
2029,dumbbell shrugs   muscle
2030,plank to squats
2031,low plank to shoulder tap
2032,treadmill walk
2033,rack pull  below the knee
2034,singlearm incline row
2035,squat  lunges  leg extension triset
2036,chin ups palms towards face
2037,serrano pause squats
2038,single arm cable curl
2039,bent over rear lateral raise
2040,squat heavy pyramid set
2041,superset  dumbbell flyes
2042,reverse hyperextension hold
2043,good mornings
2044,standing cable twist
2045,standing overhand cable row
2046,seated concentration curl
2047,rope upright rows
2048,leg press hack squats or lunges
2049,dumbbell shrugs work up to max set of 10 reps then 3x10 reps heavy as possible
2050,hex bar power shrug
2051,sissy squats
2052,standing cable row
2053,smith machine leg press
2054,dumbbell row  muscle
2055,inverted leg press
2056,tall kneeling neutral grip dumbbell front raise 
2057,leg curls w exercise ball 4
2058,1 arm tricep pushdown
2059,pike pushup
2060,farmer
2061,oblique crunch
2062,tricep pressdowns
2063,straight bar cable curls
2064,fireman butt kicks
2065,stiffleg deadlifts 3
2066,cable rope crunch
2067,ez bar curls
2068,deadlifts 70 or deadlift variation
2069,hands on bench push
2070,dumbbell rows 
2071,heel elevated split squats
2072,plie dumbbell squats
2073,tricep kickback
2074,pummel curls
2075,hanging l
2076,wall sits w
2077,close grip bench press pump
2078,lateral bounds
2079, ab wheel or barbell rollout
2080,alternating swing
2081,kettlebell deficit push up
2082,seated behind the neck press  week 3
2083,standing hammer curls
2084,overhead ez bar tricep extension
2085,plank taps
2086,barbell front squat or leg press
2087,dumbbell bench press drop set
2088,seated leg curl restpause
2089,2a trx triceps extensions
2090,bodyweight standing calf raise
2091,front rack kettlebell reverse lunge
2092,walking lunge reps are for each leg
2093,bodyweight hyperextensions
2094,medicine ball front squat
2095,heels elevated barbell squat rest 90 between sets
2096,decline dumbbell bench press
2097,machine fly
2098,seated toe raise
2099,lunges
2100,kettlebell side bend
2101,narrow grip bench press
2102,squat superset with leg curls
2103,bench press
2104,barbell curl
2105,superset  ez bar reverse curls
2106,smith machine shoulder press
2107,neutral grip dumbbell bench press
2108,triset
2109,tricep pressdown
2110,cable row
2111,standing calf raises
2112,push jerk
2113,standing barbell calf raises
2114,rear delt cable fly
2115,good morning with leg resistance
2116,reverse curl
2117,dumbbell single leg squat on box 
2118,kettlebell step up
2119,plate passes
2120,barbell shoulder press
2121,reverse ez bar curls
2122,leg curl seated or lying
2123,dumbbell incline press
2124,military press or lat pull downs
2125,high rack pull  power shrug combo
2126,lying back extensions
2127,step
2128,machine side lateral raises
2129,smith machine press  working sets
2130,stationary lunges
2131,bench press  135lbs
2132,reverse grip pushdown
2133,single arm palm in seated machine press
2134,inclined lying leg curl
2135,lying cable curl
2136,plyometric push up
2137,cross body hammer curl
2138,tricep push up
2139,cable pullover
2140,flat machine chest press
2141,band pullapart
2142,hack squat
2143,wrist curls
2144,barbell row or yates row or seated cable row
2145,regular pushups
2146,weighted ab crunch
2147,shoulder press machine
2148,bent over reverse flyes  warmup 80
2149,chest supported row pyramid up in weight
2150,half kneeling dumbbell overhead press
2151,kettlebell chest press
2152,high seated row
2153,hammer strength unilateral high row
2154,kettlebell ab pullover and crunch
2155,banded rear delt fly
2156,tricep dips 3
2157,close stance squats
2158,alternating lunge jumps
2159,spider bar squats
2160,reverse grip pulldowns
2161,parallel squats  week 2
2162,standing cable reverse fly
2163,1 to 2 quads exercises of choice
2164,smith machine btn press
2165,smith machine overhead press
2166,walkouts from knees
2167,incline dumbbell flye  working sets
2168,a1 incline dumbbell flys
2169,side plank
2170,dumbbell shrug  burn
2171,low rack pull
2172,close grip floor press
2173,dumbbell skullcrushers
2174,donkey calf raises
2175,hand chest press and row
2176,dumbbell stiff leg deadlift  muscle
2177,sumo squats
2178,hammer strength press
2179,lying floor leg raise
2180,machine tricep extensions
2181,barbell shrug or dumbbell shrug
2182,deadlifts  95
2183,dumbbell lateral raise superset w front dumbbell raise
2184,side crunch with leg lift
2185,single arm cable row
2186,smith machine split squat 
2187,dumbbell side crunch
2188,zottman hand curl
2189,squat
2190,kettlebell turkish get up
2191,alternating standing lateral raise
2192,close grip triceps press elbows wide
2193,plate pinch
2194,drop 20
2195,trx pikes
2196,3 board close grip bench press
2197,wrist roller machine
2198,body squats
2199,bent over dumbbell row
2200,pec deck
2201,squats  90 for 1st set 5lbs heavier for 2nd set and 10lbs heavier for the 3rd set example 410lbs x 3 415lbs x 3 420lbs x 3
2202,squat and touch the toes
2203,landmine t
2204,barbell conventional deadlift
2205,seated dumbbell lateral raise standing shown
2206,seated cable rows
2207,3a rearfoot elevated bulgarian split squats
2208,tricep pushdowns
2209,step up jumps
2210,front squat  muscle
2211,reverse grip chin up
2212,ez bar preacher curl pump
2213,chin up
2214,superset  reverse hack squats
2215,wide straight leg sit up
2216,power snatch or single arm dumbbell snatch
2217,handstand pushup
2218,jumping jacks
2219,rack
2220,leg curl 4560 secs rest between sets
2221,lying leg curl 
2222,trx suspension split squat
2223,seated shoulder press
2224,barbell curls 5x5 or 4x6
2225,lower body sled
2226,hammer curl
2227,reverse grip lat pulldown
2228,reversegrip chinupkettlebell swing
2229,alternate seated dumbbell curl
2230,back squats
2231,pec dec or machine bench press  burn
2232,superset  seated calf raise
2233,seated overhead dumbbell extension
2234,calf raise
2235,reverse lunge
2236,1 12 rep front squat
2237,overhead dumbbell extensions
2238,windshield wipers
2239,smith machine sumo squats 
2240,45 degree back extension
2241,tall kneeling x pull
2242,barbell rows  muscle
2243,shadow boxing combination
2244,bent over lateral raise pyramid up in weight
2245,heavy stone lap stack  carry
2246,pull ups or inverted row
2247,decline dumbbell press
2248,knee huggers
2249,standing dumbbell front raise
2250,dumbbell sumo squat
2251,palov press  hip extension
2252,11
2253,alternating plyo lunges
2254,pistol squat
2255,parallel bar dip or pressdown
2256,reverse
2257,leg extension
2258,plank walk outs
2259,barbell flat press
2260,kettlebell swings warmup
2261,reverse lunge from deficit
2262,standing leg curl
2263,lying tricep extension
2264,4a box jumps
2265,one arm lateral raise
2266,lying leg curls
2267,seated face pulls
2268,booty lunges
2269,banded hammer curl
2270,dumbbell row
2271,push ups
2272,machine one arm row
2273,glute ham raise
2274,cable upright row restpause
2275,db overhead extension
2276,floor crunches
2277,wide grip inverted row
2278,ez bar skullcrusher  muscle
2279,incline single arm dumbbell press
2280,close grip push up 1 sec hold
2281,booty bands
2282,singlearm kettlebell strict press
2283,row squeeze 2 sec hold
2284,seated cable row  burn
2285,reverse hack squats
2286,floor crunch
2287,side crunches
2288,lateral box jump
2289,banded pushups
2290,5 second isometric bicep contractions
2291,seated elbows supported tricep extension machine
2292,floor press  85
2293,assisted chin
2294,cable front raise
2295,medium grip pull ups warm up sets use lat pull downs
2296,pushups drop to knees if needed
2297,close grip bench press or dumbbell bench press
2298,incline dumbbell lateral raise
2299,machine tricep dips
2300,pushup w
2301,prone rows reverse grip to hit biceps if needed
