,exercise
270,cable tricep extension  warmup 80
271,ez bar curls 
272,donkey kicks
273,superset  machine overhead press
274,weighted rear foot elevated bulgarian split squats
275,underhand pull apart
276,machine standing calf raises
277,superset  barbell curls
278,rope pressdown
279,half kneeling cable lift 
280,weighted v
281, set 1 at 50
282,walk ups
283,ez bar upright row
284,kettlebell split lunge
285,core work
286,hammer spider curl
287, set 2 at 60
288,lat pull down to chest
289,heavy loaded carry
290,seated dumbbell power cleans pyramid up in weight
291,bench dip
292,back squats ladder set
293,superset feetelevated inverted row and burpees
294,dumbbell single leg deadlift
295,barbell preacher curl   muscle
296,air squat
297,walking lunge you can hold dumbbells use chains around your neck or carry a barbell on your shoulders in the standard back squat position
298,machine tbar
299,tuck
300,wide stance squats
301,standing dumbbell calf raise
302,1 arm cable curl
303,pushups
304,long lever plank
305,4b single leg calf raises
306,bentover barbell or dumbbell row
307,lat pulldowns
308,superset smith machine squat  dumbbell romanian deadlift
309,paused squats
310,weighted chest dip
311,incline one
312, ring lay outs on plyo box
313,bent over lateral raise with a twist
314,seated cable row  warmup 80
315,machine press
316,cable rope extension
317,banded external rotation 
318,weighted hyperextensions
319,weighted exercise ball crunch
320,full sit up
321, set 4 at 80
322,reverse grip bent over row
323,tabata cardio
324,hack squat or dumbbell lunge
325,tri set assisted pull upslat pull downseated row
326,sumo deadlifts
327,landmine goblet squat
328,ring rows
329,power clean
330,seated dumbbell press  working sets
331,dumbbell overhead triceps press
332,bench press  week 2
333,iron cross
334,dumbbell kickback
335,outside side leg raises
336,barbell deadlifts
337,standing landmine press
338,barbell preacher curl
339,bar preacher curls 
340,reverse curls
341,incline tbar row
342,seated tricep extensions dumbbell rope or ez bar
343,dumbbell bulgarian split squat
344,single arm rope pushdown
345,dumbbell high pull seated
346,leg extension drop set 
347,smith machine row 
348,wide pronated grip pull
349,tricep bench dip
350,stability alternates off knees
351,weighted squat
352,bodyweight squat
353,goblet sumo squat
354,straight arm lat pulldowns
355,barbell upright row
356,lying cable lateral raise
357,seated calf raises 4560 secs rest between sets
358,flat bench barbell bench press
359,low incline barbell press in squat rack
360,wide leg sit up
361,superset  seated reverse dumbbell wrist curl
362,lateral tuck jump w
363,floor barbell calf raise
364,tricep extensions or dumbbell skullcrushers
365,v up
366,saws
367,weighted tricep dip
368,pull downs
369,widegrip pullupplyo pushup
370,barbell roll
371,scissor crosses
372,incline overhead dumbbell extension
